cep,count,state,region,country,lat,lon
66060162,1,Pará,Região Norte,Brasil,-1.4452395,-48.4806235
67200-000,3,Pará,Região Norte,Brasil,-1.3595306,-48.3361504
66045197,1,Pará,Região Norte,Brasil,-1.440319,-48.4786833
66093020,2,Pará,Região Norte,Brasil,-1.4079043,-48.4363128
67013880,1,Pará,Região Norte,Brasil,-1.360849,-48.3649673
68742-460,1,Pará,Região Norte,Brasil,-1.2903143,-47.9317839
68730-000,2,Pará,Região Norte,Brasil,-1.2052428,-47.3935775
66033490,1,Pará,Região Norte,Brasil,-1.4651587,-48.4903477
68628514,1,Pará,Região Norte,Brasil,-2.9800439,-47.35432580951338
66085 100,1,Pará,Região Norte,Brasil,-1.4380754,-48.4751042
66816170,1,Pará,Região Norte,Brasil,-1.369423,-48.4721705
66030187,1,Pará,Região Norte,Brasil,-1.4738615,-48.4923845
67020650,1,Pará,Região Norte,Brasil,-1.3802867,-48.36678060000001
66613080,1,Pará,Região Norte,Brasil,-1.45056,-48.4682453
67145175,4,Pará,Região Norte,Brasil,-1.3796207,-48.4376756
68440000,3,Pará,Região Norte,Brasil,-1.721828,-48.878843
68901-265,1,Amapá,Região Norte,Brasil,0.0306322,-51.0719432
68797000,1,Pará,Região Norte,Brasil,-1.3555577,-48.252235
66060000,2,Pará,Região Norte,Brasil,-1.440319,-48.4786833
66079051,1,Pará,Região Norte,Brasil,-1.4521615,-48.4565059
66087810,1,Pará,Região Norte,Brasil,-1.4318734,-48.451332
68445000,2,Pará,Região Norte,Brasil,-1.5107945,-48.6190679
67140190,1,Pará,Região Norte,Brasil,-1.3481917,-48.3986829
68743100,1,Pará,Região Norte,Brasil,-1.2906221000000002,-47.947513
68743-100,1,Pará,Região Norte,Brasil,-1.2906221000000002,-47.947513
6615550,1,NaN,NAN,NAN,NAN,NAN
80240230,1,Paraná,Região Sul,Brasil,-25.4471727,-49.2889011
68507560,1,Pará,Região Norte,Brasil,-5.3462821,-49.1007401
66080180,1,Pará,Região Norte,Brasil,-1.4343907,-48.4572565
66077610,1,Pará,Região Norte,Brasil,-1.1404803999999995,-48.4654744
68447-000,1,Pará,Região Norte,Brasil,-1.5107945,-48.6190679
50740430,1,Pernambuco,Região Nordeste,Brasil,-8.0432961,-34.9464636
66640001,2,Pará,Região Norte,Brasil,-1.45056,-48.4682453
67133270,1,Pará,Região Norte,Brasil,-1.3552848,-48.4043597
66690520,1,Pará,Região Norte,Brasil,-1.4109675,-48.3932787
67113400,1,Pará,Região Norte,Brasil,-1.368138,-48.3773186
82015-400 ,1,Paraná,Região Sul,Brasil,-25.4143807,-49.3428074
68501180,1,Pará,Região Norte,Brasil,-5.3777390999999986,-49.1284759
66033-630,1,Pará,Região Norte,Brasil,-1.4726616,-48.4834473
67113010,2,Pará,Região Norte,Brasil,-1.3850401,-48.3774436
95020472,1,Rio Grande do Sul,Região Sul,Brasil,-29.169506899999995,-51.1623223
68600000,1,Pará,Região Norte,Brasil,-1.0573967,-46.7635406
67140230,1,Pará,Região Norte,Brasil,-1.3463624,-48.3981094
66055210,1,Pará,Região Norte,Brasil,-1.4452395,-48.4806235
67113330,1,Pará,Região Norte,Brasil,-1.374035,-48.4016623
66623301,2,Pará,Região Norte,Brasil,-1.3964395,-48.4355425
73030032,4,Distrito Federal,Região Centro-Oeste,Brasil,-15.655536800000002,-47.8067727
68745310,1,Pará,Região Norte,Brasil,-1.2861103,-47.9124518
68458093,1,Pará,Região Norte,Brasil,-3.756395200000001,-49.67126010000001
68501-580,1,Pará,Região Norte,Brasil,-5.3708901,-49.1240828
41340-280,1,Bahia,Região Nordeste,Brasil,-12.8906233,-38.4075379
66650230,1,Pará,Região Norte,Brasil,-1.3514814,-48.433532
13084-460,1,São Paulo,Região Sudeste,Brasil,-22.8279609,-47.0888529
58428795,1,Paraíba,Região Nordeste,Brasil,-7.2218239,-35.8908429
37310000,1,Minas Gerais,Região Sudeste,Brasil,-21.9476466,-44.1906033
66035040,1,Pará,Região Norte,Brasil,-1.461156,-48.48710120000001
68903605,1,Amapá,Região Norte,Brasil,0.0401529,-51.0569588
68800-000,1,Pará,Região Norte,Brasil,-1.68036,-50.479085
68904710,1,Amapá,Região Norte,Brasil,0.0167799,-51.0783443
660250-060,1,Ålands landsbygd, Landskapet Åland,Finlândia,60.28022785,19.886010924573977
66813210,1,Pará,Região Norte,Brasil,-1.3450485,-48.46398170000001
Estrada do Curuçambá,1,Pará,Região Norte,Brasil,-1.334225,-48.3885067
Rua Tiradentes,1,Bahia,Região Nordeste,Brasil,-11.1878689,-40.5131144
49160000,1,Sergipe,Região Nordeste,Brasil,-10.8553115,-37.1264863
68900971,1,Amapá,Região Norte,Brasil,0.0401529,-51.0569588
66625230,1,Pará,Região Norte,Brasil,-1.4645399,-48.4830187
66075750,1,Pará,Região Norte,Brasil,-1.4614280000000002,-48.4453015
68909376,1,Amapá,Região Norte,Brasil,0.0886822,-51.1006911
66000000,1,Pará,Região Norte,Brasil,-1.333854652984185,-48.45376063246279
58475000,1,Paraíba,Região Nordeste,Brasil,-7.364040400000001,-35.90166439999999
68911036,1,Amapá,Região Norte,Brasil,-0.0421657,-51.1181402
